,Date,Open,High,Low,Close,Volume,MarketCap,UnitVolume,Rolling20D
84,20190221,4000.26,4010.01,3940.11,3954.12,7775128102,69398333876,1966.335898,1796.766515
83,20190222,3952.41,4006.54,3950.82,4005.53,7826525254,70308555857,1953.930005,1822.444595
82,20190223,3998.92,4166.29,3968.73,4142.53,8922258316,72720867208,2153.818636,1857.330633
81,20190224,4145.46,4210.64,3793.71,3810.43,10794227451,66897483404,2832.810851,1921.889828
80,20190225,3807,3913.71,3807,3882.7,9318796067,68173204651,2400.081404,1966.489879
79,20190226,3878.7,3891.58,3837.99,3854.36,7931218996,67683296223,2057.726574,1989.080873
78,20190227,3857.48,3888.8,3787.06,3851.05,8301309684,67631949500,2155.596444,2023.246828
77,20190228,3848.26,3906.06,3845.82,3854.79,8399767798,67704774107,2179.046796,2026.716659
76,20190301,3853.76,3907.8,3851.69,3859.58,7661247975,67796965743,1984.995252,2042.086033
75,20190302,3855.32,3874.61,3832.13,3864.42,7578786076,67888255371,1961.170389,2055.023503
74,20190303,3862.27,3875.48,3836.91,3847.18,7253558152,67592376373,1885.422089,2063.270531
73,20190304,3845.09,3867.38,3733.75,3761.56,9029175788,66094551587,2400.380637,2094.602943
72,20190305,3759.83,3903.92,3745.18,3896.38,10174126415,68470655400,2611.174068,2136.522057
71,20190306,3897.08,3919.51,3871.46,3903.94,9175291529,68609885776,2350.264484,2167.343929
70,20190307,3903.38,3939.37,3894.11,3911.48,9584165519,68749421311,2450.265761,2205.733053
69,20190308,3913.23,3950.43,3875.23,3901.13,10638638944,68574579320,2727.06599,2260.335838
68,20190309,3894.55,3987.24,3892.39,3963.31,10796103518,69674508655,2724.011878,2300.73051
67,20190310,3966.17,3966.17,3924.38,3951.6,9713267607,69475297370,2458.059421,2297.114707
66,20190311,3953.74,3966.38,3889.24,3905.23,10125901903,68666928025,2592.907947,2300.925291
65,20190312,3903.76,3926.89,3863.56,3909.16,9809887079,68743000581,2509.461644,2317.726308
64,20190313,3913.05,3926.6,3891.9,3906.72,9469184841,68706700381,2423.819685,2340.600498
63,20190314,3905.58,3946.5,3901.3,3924.37,10480789570,69024696307,2670.69353,2376.438674
62,20190315,3926.66,3968.54,3914.02,3960.91,9394210605,69675002377,2371.730386,2387.334261
61,20190316,3963.9,4077.04,3961.66,4048.73,9856166973,71227967573,2434.38485,2367.412961
60,20190317,4047.72,4054.12,4006.41,4025.23,8221625400,70821939585,2042.523135,2349.535048
59,20190318,4029.97,4071.56,4009.12,4032.51,9646954186,70958165407,2392.295168,2366.263478
58,20190319,4032.69,4082.22,4023.81,4071.19,9344919956,71647703828,2295.377999,2373.252555
57,20190320,4070.79,4089.46,4031.11,4087.48,10175916388,71942444088,2489.53301,2388.776866
56,20190321,4083.95,4097.36,4005.15,4029.33,10831212662,70926226882,2688.092726,2423.93174
55,20190322,4028.51,4053.91,4021.54,4023.97,9252935969,70840048102,2299.454511,2440.845946
54,20190323,4022.71,4049.88,4015.96,4035.83,9578850549,71056017910,2373.452437,2465.247463
53,20190324,4035.16,4040.7,4006.19,4022.17,9144851065,70823042992,2273.611276,2458.908995
52,20190325,4024.11,4038.84,3934.03,3963.07,10359818883,69789872373,2614.0893,2459.054757
